timestamp_ms,open,high,low,close,volume,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,adx14,atr14,bb_upper,bb_middle,bb_lower,ema20,ema50,target
1704322800000,0.53543000,0.53544000,0.53157000,0.53425000,120294.87898375,39.8754,-0.0100,-0.0101,0.0000,63.7359,63.9871,54.9608,53.4053,46.4295,0.01069755,0.59775004,0.54839650,0.49904296,0.54418041,0.55605465,-0.003431242643830114
1704326400000,0.53347000,0.53522000,0.53225000,0.53263000,112293.08794966,38.9766,-0.0097,-0.0100,0.0003,61.8639,63.6066,63.0021,57.8511,46.8685,0.01014558,0.59391551,0.54611100,0.49830649,0.54308037,0.55513604,-0.0025754556528667827
1704330000000,0.53262000,0.53322000,0.52303000,0.52576000,139910.16314320,35.3387,-0.0099,-0.0100,0.0001,62.1666,62.5888,68.9195,62.2941,47.6636,0.01014876,0.58914505,0.54335700,0.49756895,0.54143081,0.55398404,0.0006464738878583322
1704333600000,0.52612000,0.53428000,0.52588000,0.53409000,95032.64726000,42.3632,-0.0093,-0.0098,0.0006,68.2373,64.0893,82.2291,71.3836,48.2443,0.01003242,0.58385198,0.54107900,0.49830602,0.54073169,0.55320388,-0.01705182230908619
1704337200000,0.53413000,0.53429000,0.53176000,0.53296000,80771.62983182,41.7014,-0.0088,-0.0096,0.0009,70.8241,67.0760,85.2371,78.7952,48.7819,0.00949653,0.57853205,0.53889600,0.49925995,0.53999153,0.55241000,-0.010676727908945378
1704340800000,0.53332000,0.53490000,0.53177000,0.53386000,44972.59962063,42.4722,-0.0082,-0.0093,0.0012,72.8366,70.6327,92.8060,86.7574,49.1785,0.00904178,0.57239587,0.53675000,0.50110413,0.53940757,0.55168255,-0.012914108608987965
1704344400000,0.53439000,0.53577000,0.53213000,0.53242000,25128.31634271,41.5261,-0.0078,-0.0090,0.0013,64.5665,69.4091,89.4093,89.1508,49.3926,0.00865594,0.56355119,0.53431000,0.50506881,0.53874209,0.55092715,-0.00928378620520539
1704348000000,0.53243000,0.53389000,0.53049000,0.53126000,80887.28170521,40.7388,-0.0074,-0.0087,0.0013,57.9690,65.1240,84.9841,89.0665,49.6857,0.00828051,0.55247761,0.53189400,0.51131039,0.53802951,0.55015589,-0.002940735040396949
1704351600000,0.53125000,0.53295000,0.52600000,0.52610000,456123.46049444,37.3470,-0.0075,-0.0085,0.0010,43.0965,55.2107,71.9151,82.1028,50.2078,0.00818547,0.54225220,0.52980800,0.51736380,0.53689336,0.54921253,0.007932717977909735
1704355200000,0.52614000,0.52850000,0.52423000,0.52506000,207008.31842528,36.6840,-0.0075,-0.0083,0.0007,28.3384,43.1346,56.9331,71.2774,50.7877,0.00790580,0.54146669,0.53020150,0.51893631,0.53576638,0.54826537,0.016752202449538706
1704358800000,0.52517000,0.52863000,0.52485000,0.52730000,324035.51801089,39.1879,-0.0073,-0.0081,0.0008,19.4484,30.2944,46.3884,58.4122,51.2985,0.00761110,0.54128158,0.53041600,0.51955042,0.53496006,0.54744320,0.015337868310459874
1704362400000,0.52732000,0.52889000,0.52185000,0.52701000,433095.79199345,38.9730,-0.0071,-0.0079,0.0008,19.9130,22.5666,43.6195,48.9803,51.9447,0.00757031,0.54004272,0.53091750,0.52179228,0.53420291,0.54664189,0.010400931870315187
1704366000000,0.52733000,0.52799000,0.52500000,0.52750000,201612.70236912,39.5759,-0.0068,-0.0077,0.0009,25.9418,21.7677,50.2079,46.7386,52.5448,0.00724314,0.53997954,0.53073500,0.52149046,0.53356454,0.54589123,0.014958649496662485
1704369600000,0.52761000,0.53025000,0.52624000,0.52970000,207575.22440982,42.3306,-0.0063,-0.0074,0.0011,37.1160,27.6569,67.2385,53.6887,52.5567,0.00701220,0.53999600,0.53078850,0.52158100,0.53319648,0.54525628,0.012643911292258421
1704373200000,0.52955000,0.53173000,0.52803000,0.53029000,122821.40906050,43.0800,-0.0058,-0.0071,0.0013,48.6618,37.2399,85.8042,67.7502,52.2134,0.00677562,0.54002941,0.53086950,0.52170959,0.53291968,0.54466937,0.012257444117409875
